u,v,p,r,m,n,required_valuation,observed_valuation
0,-3,7,1,3,21,3,4
0,-3,7,1,5,35,3,4
0,-3,7,2,1,49,6,6
0,-3,7,2,2,98,6,6
0,-3,7,2,3,147,6,7
0,-3,7,2,5,245,6,7
0,-3,11,1,1,11,3,3
0,-3,11,1,2,22,3,3
0,-3,11,1,3,33,3,3
0,-3,11,1,5,55,3,4
0,-2,3,1,1,3,2,2
0,-2,3,1,2,6,2,3
0,-2,3,1,3,9,5,5
0,-2,3,1,5,15,2,4
0,-2,3,2,1,9,5,5
0,-2,3,2,2,18,5,6
0,-2,3,2,3,27,8,8
0,-2,3,2,5,45,5,7
0,-2,3,3,1,27,8,8
0,-2,3,3,2,54,8,9
0,-2,3,3,3,81,11,11
0,-2,3,3,5,135,8,10
0,-2,5,1,1,5,3,3
0,-2,5,1,2,10,3,3
0,-2,5,1,3,15,3,4
0,-2,5,1,5,25,6,6
0,-2,5,2,1,25,6,6
0,-2,5,2,2,50,6,6
0,-2,5,2,3,75,6,7
0,-2,5,2,5,125,9,9
0,-2,7,1,1,7,3,3
0,-2,7,1,2,14,3,3
0,-2,7,1,3,21,3,3
0,-2,7,1,5,35,3,4
0,-2,7,2,1,49,6,6
0,-2,7,2,2,98,6,6
0,-2,7,2,3,147,6,6
0,-2,7,2,5,245,6,7
0,-2,11,1,1,11,3,3
0,-2,11,1,2,22,3,3
0,-2,11,1,3,33,3,3
0,-2,11,1,5,55,3,3
0,-1,3,1,1,3,2,infinity
0,-1,3,1,2,6,2,infinity
0,-1,3,1,3,9,5,infinity
0,-1,3,1,5,15,2,infinity
0,-1,3,2,1,9,5,infinity
0,-1,3,2,2,18,5,infinity
0,-1,3,2,3,27,8,infinity
0,-1,3,2,5,45,5,infinity
0,-1,3,3,1,27,8,infinity
0,-1,3,3,2,54,8,infinity
0,-1,3,3,3,81,11,infinity
0,-1,3,3,5,135,8,infinity
0,-1,5,1,1,5,3,infinity
0,-1,5,1,2,10,3,infinity
0,-1,5,1,3,15,3,infinity
0,-1,5,1,5,25,6,infinity
0,-1,5,2,1,25,6,infinity
0,-1,5,2,2,50,6,infinity
0,-1,5,2,3,75,6,infinity
0,-1,5,2,5,125,9,infinity
0,-1,7,1,1,7,3,infinity
0,-1,7,1,2,14,3,infinity
0,-1,7,1,3,21,3,infinity
0,-1,7,1,5,35,3,infinity
0,-1,7,2,1,49,6,infinity
0,-1,7,2,2,98,6,infinity
0,-1,7,2,3,147,6,infinity
0,-1,7,2,5,245,6,infinity
0,-1,11,1,1,11,3,infinity
0,-1,11,1,2,22,3,infinity
0,-1,11,1,3,33,3,infinity
0,-1,11,1,5,55,3,infinity
0,0,3,1,1,3,2,infinity
0,0,3,1,2,6,2,infinity
0,0,3,1,3,9,5,infinity
0,0,3,1,5,15,2,infinity
0,0,3,2,1,9,5,infinity
0,0,3,2,2,18,5,infinity
0,0,3,2,3,27,8,infinity
0,0,3,2,5,45,5,infinity
0,0,3,3,1,27,8,infinity
0,0,3,3,2,54,8,infinity
0,0,3,3,3,81,11,infinity
0,0,3,3,5,135,8,infinity
0,0,5,1,1,5,3,infinity
0,0,5,1,2,10,3,infinity
0,0,5,1,3,15,3,infinity
0,0,5,1,5,25,6,infinity
0,0,5,2,1,25,6,infinity
0,0,5,2,2,50,6,infinity
0,0,5,2,3,75,6,infinity
0,0,5,2,5,125,9,infinity
0,0,7,1,1,7,3,infinity
0,0,7,1,2,14,3,infinity
0,0,7,1,3,21,3,infinity
0,0,7,1,5,35,3,infinity
0,0,7,2,1,49,6,infinity
0,0,7,2,2,98,6,infinity
0,0,7,2,3,147,6,infinity
0,0,7,2,5,245,6,infinity
0,0,11,1,1,11,3,infinity
0,0,11,1,2,22,3,infinity
0,0,11,1,3,33,3,infinity
0,0,11,1,5,55,3,infinity
0,1,3,1,1,3,2,2
0,1,3,1,2,6,2,3
0,1,3,1,3,9,5,5
0,1,3,1,5,15,2,4
0,1,3,2,1,9,5,5
0,1,3,2,2,18,5,6
0,1,3,2,3,27,8,8
0,1,3,2,5,45,5,7
0,1,3,3,1,27,8,8
0,1,3,3,2,54,8,9
0,1,3,3,3,81,11,11
0,1,3,3,5,135,8,10
0,1,5,1,1,5,3,3
0,1,5,1,2,10,3,3
0,1,5,1,3,15,3,4
0,1,5,1,5,25,6,6
0,1,5,2,1,25,6,6
0,1,5,2,2,50,6,6
0,1,5,2,3,75,6,7
0,1,5,2,5,125,9,9
0,1,7,1,1,7,3,3
0,1,7,1,2,14,3,3
0,1,7,1,3,21,3,3
0,1,7,1,5,35,3,4
0,1,7,2,1,49,6,6
0,1,7,2,2,98,6,6
0,1,7,2,3,147,6,6
0,1,7,2,5,245,6,7
0,1,11,1,1,11,3,3
0,1,11,1,2,22,3,3
0,1,11,1,3,33,3,3
0,1,11,1,5,55,3,3
0,2,3,1,1,3,2,3
0,2,3,1,2,6,2,3
0,2,3,1,3,9,5,6
0,2,3,1,5,15,2,3
0,2,3,2,1,9,5,6
0,2,3,2,2,18,5,6
0,2,3,2,3,27,8,9
0,2,3,2,5,45,5,6
0,2,3,3,1,27,8,9
0,2,3,3,2,54,8,9
0,2,3,3,3,81,11,12
0,2,3,3,5,135,8,9
0,2,5,1,1,5,3,3
0,2,5,1,2,10,3,4
0,2,5,1,3,15,3,3
0,2,5,1,5,25,6,6
0,2,5,2,1,25,6,6
0,2,5,2,2,50,6,7
0,2,5,2,3,75,6,6
0,2,5,2,5,125,9,9
0,2,7,1,1,7,3,3
0,2,7,1,2,14,3,3
0,2,7,1,3,21,3,4
0,2,7,1,5,35,3,4
0,2,7,2,1,49,6,6
0,2,7,2,2,98,6,6
0,2,7,2,3,147,6,7
0,2,7,2,5,245,6,7
0,2,11,1,1,11,3,3
0,2,11,1,2,22,3,3
0,2,11,1,3,33,3,3
0,2,11,1,5,55,3,4
0,3,3,1,1,3,2,4
0,3,3,1,2,6,2,4
0,3,3,1,3,9,5,7
0,3,3,1,5,15,2,5
0,3,3,2,1,9,5,7
0,3,3,2,2,18,5,7
0,3,3,2,3,27,8,10
0,3,3,2,5,45,5,8
0,3,3,3,1,27,8,10
0,3,3,3,2,54,8,10
0,3,3,3,3,81,11,13
0,3,3,3,5,135,8,11
0,3,5,1,1,5,3,3
0,3,5,1,2,10,3,3
0,3,5,1,3,15,3,4
0,3,5,1,5,25,6,6
0,3,5,2,1,25,6,6
0,3,5,2,2,50,6,6
0,3,5,2,3,75,6,7
0,3,5,2,5,125,9,9
0,3,7,1,1,7,3,3
0,3,7,1,2,14,3,4
0,3,7,1,3,21,3,3
0,3,7,1,5,35,3,3
0,3,7,2,1,49,6,6
0,3,7,2,2,98,6,7
0,3,7,2,3,147,6,6
0,3,7,2,5,245,6,6
0,3,11,1,1,11,3,3
0,3,11,1,2,22,3,3
0,3,11,1,3,33,3,4
0,3,11,1,5,55,3,3
0,4,3,1,1,3,2,2
0,4,3,1,2,6,2,4
0,4,3,1,3,9,5,5
0,4,3,1,5,15,2,3
0,4,3,2,1,9,5,5
0,4,3,2,2,18,5,7
0,4,3,2,3,27,8,8
0,4,3,2,5,45,5,6
0,4,3,3,1,27,8,8
0,4,3,3,2,54,8,10
0,4,3,3,3,81,11,11
0,4,3,3,5,135,8,9
0,4,5,1,1,5,3,4
0,4,5,1,2,10,3,4
0,4,5,1,3,15,3,4
0,4,5,1,5,25,6,7
0,4,5,2,1,25,6,7
0,4,5,2,2,50,6,7
0,4,5,2,3,75,6,7
0,4,5,2,5,125,9,10
0,4,7,1,1,7,3,3
0,4,7,1,2,14,3,3
0,4,7,1,3,21,3,4
0,4,7,1,5,35,3,4
0,4,7,2,1,49,6,6
0,4,7,2,2,98,6,6
0,4,7,2,3,147,6,7
0,4,7,2,5,245,6,7
0,4,11,1,1,11,3,3
0,4,11,1,2,22,3,3
0,4,11,1,3,33,3,3
0,4,11,1,5,55,3,4
1,-3,3,1,1,3,2,2
1,-3,3,1,2,6,2,3
1,-3,3,1,3,9,5,5
1,-3,3,1,5,15,2,3
1,-3,3,2,1,9,5,5
1,-3,3,2,2,18,5,6
1,-3,3,2,3,27,8,8
1,-3,3,2,5,45,5,6
1,-3,3,3,1,27,8,8
1,-3,3,3,2,54,8,9
1,-3,3,3,3,81,11,11
1,-3,3,3,5,135,8,9
1,-3,5,1,1,5,3,3
1,-3,5,1,2,10,3,4
1,-3,5,1,3,15,3,3
1,-3,5,1,5,25,6,6
1,-3,5,2,1,25,6,6
1,-3,5,2,2,50,6,7
1,-3,5,2,3,75,6,6
1,-3,5,2,5,125,9,9
1,-3,7,1,1,7,3,3
1,-3,7,1,2,14,3,3
1,-3,7,1,3,21,3,3
1,-3,7,1,5,35,3,4
1,-3,7,2,1,49,6,6
1,-3,7,2,2,98,6,6
1,-3,7,2,3,147,6,6
1,-3,7,2,5,245,6,7
1,-3,11,1,1,11,3,3
1,-3,11,1,2,22,3,3
1,-3,11,1,3,33,3,3
1,-3,11,1,5,55,3,3
1,-2,3,1,1,3,2,3
1,-2,3,1,2,6,2,4
1,-2,3,1,3,9,5,6
1,-2,3,1,5,15,2,5
1,-2,3,2,1,9,5,6
1,-2,3,2,2,18,5,7
1,-2,3,2,3,27,8,9
1,-2,3,2,5,45,5,8
1,-2,3,3,1,27,8,9
1,-2,3,3,2,54,8,10
1,-2,3,3,3,81,11,12
1,-2,3,3,5,135,8,11
1,-2,5,1,1,5,3,3
1,-2,5,1,2,10,3,3
1,-2,5,1,3,15,3,4
1,-2,5,1,5,25,6,6
1,-2,5,2,1,25,6,6
1,-2,5,2,2,50,6,6
1,-2,5,2,3,75,6,7
1,-2,5,2,5,125,9,9
1,-2,7,1,1,7,3,4
1,-2,7,1,2,14,3,4
1,-2,7,1,3,21,3,4
1,-2,7,1,5,35,3,5
1,-2,7,2,1,49,6,7
1,-2,7,2,2,98,6,7
1,-2,7,2,3,147,6,7
1,-2,7,2,5,245,6,8
1,-2,11,1,1,11,3,3
1,-2,11,1,2,22,3,3
1,-2,11,1,3,33,3,3
1,-2,11,1,5,55,3,3
1,-1,3,1,1,3,2,2
1,-1,3,1,2,6,2,2
1,-1,3,1,3,9,5,5
1,-1,3,1,5,15,2,3
1,-1,3,2,1,9,5,5
1,-1,3,2,2,18,5,5
1,-1,3,2,3,27,8,8
1,-1,3,2,5,45,5,6
1,-1,3,3,1,27,8,8
1,-1,3,3,2,54,8,8
1,-1,3,3,3,81,11,11
1,-1,3,3,5,135,8,9
1,-1,5,1,1,5,3,3
1,-1,5,1,2,10,3,4
1,-1,5,1,3,15,3,4
1,-1,5,1,5,25,6,6
1,-1,5,2,1,25,6,6
1,-1,5,2,2,50,6,7
1,-1,5,2,3,75,6,7
1,-1,5,2,5,125,9,9
1,-1,7,1,1,7,3,4
1,-1,7,1,2,14,3,4
1,-1,7,1,3,21,3,5
1,-1,7,1,5,35,3,4
1,-1,7,2,1,49,6,7
1,-1,7,2,2,98,6,7
1,-1,7,2,3,147,6,7
1,-1,7,2,5,245,6,7
1,-1,11,1,1,11,3,3
1,-1,11,1,2,22,3,3
1,-1,11,1,3,33,3,3
1,-1,11,1,5,55,3,3
1,0,3,1,1,3,2,2
1,0,3,1,2,6,2,3
1,0,3,1,3,9,5,5
1,0,3,1,5,15,2,4
1,0,3,2,1,9,5,5
1,0,3,2,2,18,5,6
1,0,3,2,3,27,8,8
1,0,3,2,5,45,5,7
1,0,3,3,1,27,8,8
1,0,3,3,2,54,8,9
1,0,3,3,3,81,11,11
1,0,3,3,5,135,8,10
1,0,5,1,1,5,3,3
1,0,5,1,2,10,3,3
1,0,5,1,3,15,3,4
1,0,5,1,5,25,6,6
1,0,5,2,1,25,6,6
1,0,5,2,2,50,6,6
1,0,5,2,3,75,6,7
1,0,5,2,5,125,9,9
1,0,7,1,1,7,3,3
1,0,7,1,2,14,3,3
1,0,7,1,3,21,3,3
1,0,7,1,5,35,3,4
1,0,7,2,1,49,6,6
1,0,7,2,2,98,6,6
1,0,7,2,3,147,6,6
1,0,7,2,5,245,6,7
1,0,11,1,1,11,3,3
1,0,11,1,2,22,3,3
1,0,11,1,3,33,3,3
1,0,11,1,5,55,3,3
1,1,3,1,1,3,2,infinity
1,1,3,1,2,6,2,3
1,1,3,1,3,9,5,infinity
1,1,3,1,5,15,2,infinity
1,1,3,2,1,9,5,infinity
1,1,3,2,2,18,5,6
1,1,3,2,3,27,8,infinity
1,1,3,2,5,45,5,infinity
1,1,3,3,1,27,8,infinity
1,1,3,3,2,54,8,9
1,1,3,3,3,81,11,infinity
1,1,3,3,5,135,8,infinity
1,1,5,1,1,5,3,infinity
1,1,5,1,2,10,3,3
1,1,5,1,3,15,3,infinity
1,1,5,1,5,25,6,infinity
1,1,5,2,1,25,6,infinity
1,1,5,2,2,50,6,6
1,1,5,2,3,75,6,infinity
1,1,5,2,5,125,9,infinity
1,1,7,1,1,7,3,infinity
1,1,7,1,2,14,3,3
1,1,7,1,3,21,3,infinity
1,1,7,1,5,35,3,infinity
1,1,7,2,1,49,6,infinity
1,1,7,2,2,98,6,6
1,1,7,2,3,147,6,infinity
1,1,7,2,5,245,6,infinity
1,1,11,1,1,11,3,infinity
1,1,11,1,2,22,3,3
1,1,11,1,3,33,3,infinity
1,1,11,1,5,55,3,infinity
1,2,3,1,1,3,2,2
1,2,3,1,2,6,2,2
1,2,3,1,3,9,5,5
1,2,3,1,5,15,2,2
1,2,3,2,1,9,5,5
1,2,3,2,2,18,5,5
1,2,3,2,3,27,8,8
1,2,3,2,5,45,5,5
1,2,3,3,1,27,8,8
1,2,3,3,2,54,8,8
1,2,3,3,3,81,11,11
1,2,3,3,5,135,8,8
1,2,5,1,1,5,3,3
1,2,5,1,2,10,3,5
1,2,5,1,3,15,3,3
1,2,5,1,5,25,6,6
1,2,5,2,1,25,6,6
1,2,5,2,2,50,6,8
1,2,5,2,3,75,6,6
1,2,5,2,5,125,9,9
1,2,7,1,1,7,3,3
1,2,7,1,2,14,3,3
1,2,7,1,3,21,3,3
1,2,7,1,5,35,3,3
1,2,7,2,1,49,6,6
1,2,7,2,2,98,6,6
1,2,7,2,3,147,6,6
1,2,7,2,5,245,6,6
1,2,11,1,1,11,3,3
1,2,11,1,2,22,3,3
1,2,11,1,3,33,3,3
1,2,11,1,5,55,3,3
1,3,3,1,1,3,2,2
1,3,3,1,2,6,2,3
1,3,3,1,3,9,5,5
1,3,3,1,5,15,2,3
1,3,3,2,1,9,5,5
1,3,3,2,2,18,5,6
1,3,3,2,3,27,8,8
1,3,3,2,5,45,5,6
1,3,3,3,1,27,8,8
1,3,3,3,2,54,8,9
1,3,3,3,3,81,11,11
1,3,3,3,5,135,8,9
1,3,5,1,1,5,3,3
1,3,5,1,2,10,3,3
1,3,5,1,3,15,3,4
1,3,5,1,5,25,6,6
1,3,5,2,1,25,6,6
1,3,5,2,2,50,6,6
1,3,5,2,3,75,6,7
1,3,5,2,5,125,9,9
1,3,7,1,1,7,3,3
1,3,7,1,2,14,3,3
1,3,7,1,3,21,3,3
1,3,7,1,5,35,3,3
1,3,7,2,1,49,6,6
1,3,7,2,2,98,6,6
1,3,7,2,3,147,6,6
1,3,7,2,5,245,6,6
1,3,11,1,1,11,3,3
1,3,11,1,2,22,3,3
1,3,11,1,3,33,3,3
1,3,11,1,5,55,3,3
1,4,3,1,1,3,2,3
1,4,3,1,2,6,2,3
1,4,3,1,3,9,5,6
1,4,3,1,5,15,2,3
1,4,3,2,1,9,5,6
1,4,3,2,2,18,5,6
1,4,3,2,3,27,8,9
1,4,3,2,5,45,5,6
1,4,3,3,1,27,8,9
1,4,3,3,2,54,8,9
1,4,3,3,3,81,11,12
1,4,3,3,5,135,8,9
1,4,5,1,1,5,3,3
1,4,5,1,2,10,3,4
1,4,5,1,3,15,3,4
1,4,5,1,5,25,6,6
1,4,5,2,1,25,6,6
1,4,5,2,2,50,6,7
1,4,5,2,3,75,6,7
1,4,5,2,5,125,9,9
1,4,7,1,1,7,3,3
1,4,7,1,2,14,3,3
1,4,7,1,3,21,3,3
1,4,7,1,5,35,3,4
1,4,7,2,1,49,6,6
1,4,7,2,2,98,6,6
1,4,7,2,3,147,6,6
1,4,7,2,5,245,6,7
1,4,11,1,1,11,3,3
1,4,11,1,2,22,3,3
1,4,11,1,3,33,3,3
1,4,11,1,5,55,3,3
2,-3,3,1,1,3,2,3
2,-3,3,1,2,6,2,3
2,-3,3,1,3,9,5,6
2,-3,3,1,5,15,2,3
2,-3,3,2,1,9,5,6
2,-3,3,2,2,18,5,6
2,-3,3,2,3,27,8,9
2,-3,3,2,5,45,5,6
2,-3,3,3,1,27,8,9
2,-3,3,3,2,54,8,9
2,-3,3,3,3,81,11,12
2,-3,3,3,5,135,8,9
2,-3,5,1,1,5,3,4
2,-3,5,1,2,10,3,5
2,-3,5,1,3,15,3,4
2,-3,5,1,5,25,6,7
2,-3,5,2,1,25,6,7
2,-3,5,2,2,50,6,8
2,-3,5,2,3,75,6,7
2,-3,5,2,5,125,9,10
2,-3,7,1,1,7,3,4
2,-3,7,1,2,14,3,4
2,-3,7,1,3,21,3,5
2,-3,7,1,5,35,3,5
2,-3,7,2,1,49,6,7
2,-3,7,2,2,98,6,7
2,-3,7,2,3,147,6,8
2,-3,7,2,5,245,6,8
2,-3,11,1,1,11,3,3
2,-3,11,1,2,22,3,3
2,-3,11,1,3,33,3,3
2,-3,11,1,5,55,3,4
2,-2,3,1,1,3,2,2
2,-2,3,1,2,6,2,2
2,-2,3,1,3,9,5,5
2,-2,3,1,5,15,2,2
2,-2,3,2,1,9,5,5
2,-2,3,2,2,18,5,5
2,-2,3,2,3,27,8,8
2,-2,3,2,5,45,5,5
2,-2,3,3,1,27,8,8
2,-2,3,3,2,54,8,8
2,-2,3,3,3,81,11,11
2,-2,3,3,5,135,8,8
2,-2,5,1,1,5,3,3
2,-2,5,1,2,10,3,3
2,-2,5,1,3,15,3,3
2,-2,5,1,5,25,6,6
2,-2,5,2,1,25,6,6
2,-2,5,2,2,50,6,6
2,-2,5,2,3,75,6,6
2,-2,5,2,5,125,9,9
2,-2,7,1,1,7,3,4
2,-2,7,1,2,14,3,4
2,-2,7,1,3,21,3,4
2,-2,7,1,5,35,3,4
2,-2,7,2,1,49,6,7
2,-2,7,2,2,98,6,7
2,-2,7,2,3,147,6,7
2,-2,7,2,5,245,6,7
2,-2,11,1,1,11,3,3
2,-2,11,1,2,22,3,3
2,-2,11,1,3,33,3,3
2,-2,11,1,5,55,3,3
2,-1,3,1,1,3,2,3
2,-1,3,1,2,6,2,2
2,-1,3,1,3,9,5,6
2,-1,3,1,5,15,2,2
2,-1,3,2,1,9,5,6
2,-1,3,2,2,18,5,5
2,-1,3,2,3,27,8,9
2,-1,3,2,5,45,5,5
2,-1,3,3,1,27,8,9
2,-1,3,3,2,54,8,8
2,-1,3,3,3,81,11,12
2,-1,3,3,5,135,8,8
2,-1,5,1,1,5,3,3
2,-1,5,1,2,10,3,4
2,-1,5,1,3,15,3,3
2,-1,5,1,5,25,6,6
2,-1,5,2,1,25,6,6
2,-1,5,2,2,50,6,7
2,-1,5,2,3,75,6,6
2,-1,5,2,5,125,9,9
2,-1,7,1,1,7,3,3
2,-1,7,1,2,14,3,3
2,-1,7,1,3,21,3,3
2,-1,7,1,5,35,3,3
2,-1,7,2,1,49,6,6
2,-1,7,2,2,98,6,6
2,-1,7,2,3,147,6,6
2,-1,7,2,5,245,6,6
2,-1,11,1,1,11,3,4
2,-1,11,1,2,22,3,3
2,-1,11,1,3,33,3,3
2,-1,11,1,5,55,3,3
2,0,3,1,1,3,2,3
2,0,3,1,2,6,2,3
2,0,3,1,3,9,5,6
2,0,3,1,5,15,2,3
2,0,3,2,1,9,5,6
2,0,3,2,2,18,5,6
2,0,3,2,3,27,8,9
2,0,3,2,5,45,5,6
2,0,3,3,1,27,8,9
2,0,3,3,2,54,8,9
2,0,3,3,3,81,11,12
2,0,3,3,5,135,8,9
2,0,5,1,1,5,3,3
2,0,5,1,2,10,3,4
2,0,5,1,3,15,3,3
2,0,5,1,5,25,6,6
2,0,5,2,1,25,6,6
2,0,5,2,2,50,6,7
2,0,5,2,3,75,6,6
2,0,5,2,5,125,9,9
2,0,7,1,1,7,3,3
2,0,7,1,2,14,3,3
2,0,7,1,3,21,3,4
2,0,7,1,5,35,3,4
2,0,7,2,1,49,6,6
2,0,7,2,2,98,6,6
2,0,7,2,3,147,6,7
2,0,7,2,5,245,6,7
2,0,11,1,1,11,3,3
2,0,11,1,2,22,3,3
2,0,11,1,3,33,3,3
2,0,11,1,5,55,3,4
2,1,3,1,1,3,2,2
2,1,3,1,2,6,2,2
2,1,3,1,3,9,5,5
2,1,3,1,5,15,2,2
2,1,3,2,1,9,5,5
2,1,3,2,2,18,5,5
2,1,3,2,3,27,8,8
2,1,3,2,5,45,5,5
2,1,3,3,1,27,8,8
2,1,3,3,2,54,8,8
2,1,3,3,3,81,11,11
2,1,3,3,5,135,8,8
2,1,5,1,1,5,3,3
2,1,5,1,2,10,3,5
2,1,5,1,3,15,3,3
2,1,5,1,5,25,6,6
2,1,5,2,1,25,6,6
2,1,5,2,2,50,6,8
2,1,5,2,3,75,6,6
2,1,5,2,5,125,9,9
2,1,7,1,1,7,3,3
2,1,7,1,2,14,3,3
2,1,7,1,3,21,3,3
2,1,7,1,5,35,3,3
2,1,7,2,1,49,6,6
2,1,7,2,2,98,6,6
2,1,7,2,3,147,6,6
2,1,7,2,5,245,6,6
2,1,11,1,1,11,3,3
2,1,11,1,2,22,3,3
2,1,11,1,3,33,3,3
2,1,11,1,5,55,3,3
2,2,3,1,1,3,2,infinity
2,2,3,1,2,6,2,2
2,2,3,1,3,9,5,infinity
2,2,3,1,5,15,2,infinity
2,2,3,2,1,9,5,infinity
2,2,3,2,2,18,5,5
2,2,3,2,3,27,8,infinity
2,2,3,2,5,45,5,infinity
2,2,3,3,1,27,8,infinity
2,2,3,3,2,54,8,8
2,2,3,3,3,81,11,infinity
2,2,3,3,5,135,8,infinity
2,2,5,1,1,5,3,infinity
2,2,5,1,2,10,3,4
2,2,5,1,3,15,3,infinity
2,2,5,1,5,25,6,infinity
2,2,5,2,1,25,6,infinity
2,2,5,2,2,50,6,7
2,2,5,2,3,75,6,infinity
2,2,5,2,5,125,9,infinity
2,2,7,1,1,7,3,infinity
2,2,7,1,2,14,3,3
2,2,7,1,3,21,3,infinity
2,2,7,1,5,35,3,infinity
2,2,7,2,1,49,6,infinity
2,2,7,2,2,98,6,6
2,2,7,2,3,147,6,infinity
2,2,7,2,5,245,6,infinity
2,2,11,1,1,11,3,infinity
2,2,11,1,2,22,3,3
2,2,11,1,3,33,3,infinity
2,2,11,1,5,55,3,infinity
2,3,3,1,1,3,2,3
2,3,3,1,2,6,2,4
2,3,3,1,3,9,5,6
2,3,3,1,5,15,2,3
2,3,3,2,1,9,5,6
2,3,3,2,2,18,5,7
2,3,3,2,3,27,8,9
2,3,3,2,5,45,5,6
2,3,3,3,1,27,8,9
2,3,3,3,2,54,8,10
2,3,3,3,3,81,11,12
2,3,3,3,5,135,8,9
2,3,5,1,1,5,3,3
2,3,5,1,2,10,3,3
2,3,5,1,3,15,3,3
2,3,5,1,5,25,6,6
2,3,5,2,1,25,6,6
2,3,5,2,2,50,6,6
2,3,5,2,3,75,6,6
2,3,5,2,5,125,9,9
2,3,7,1,1,7,3,3
2,3,7,1,2,14,3,4
2,3,7,1,3,21,3,4
2,3,7,1,5,35,3,3
2,3,7,2,1,49,6,6
2,3,7,2,2,98,6,7
2,3,7,2,3,147,6,7
2,3,7,2,5,245,6,6
2,3,11,1,1,11,3,3
2,3,11,1,2,22,3,3
2,3,11,1,3,33,3,3
2,3,11,1,5,55,3,3
2,4,3,1,1,3,2,2
2,4,3,1,2,6,2,2
2,4,3,1,3,9,5,5
2,4,3,1,5,15,2,3
2,4,3,2,1,9,5,5
2,4,3,2,2,18,5,5
2,4,3,2,3,27,8,8
2,4,3,2,5,45,5,6
2,4,3,3,1,27,8,8
2,4,3,3,2,54,8,8
2,4,3,3,3,81,11,11
2,4,3,3,5,135,8,9
2,4,5,1,1,5,3,3
2,4,5,1,2,10,3,4
2,4,5,1,3,15,3,3
2,4,5,1,5,25,6,6
2,4,5,2,1,25,6,6
2,4,5,2,2,50,6,8
2,4,5,2,3,75,6,6
2,4,5,2,5,125,9,9
2,4,7,1,1,7,3,4
2,4,7,1,2,14,3,4
2,4,7,1,3,21,3,4
2,4,7,1,5,35,3,4
2,4,7,2,1,49,6,7
2,4,7,2,2,98,6,7
2,4,7,2,3,147,6,7
2,4,7,2,5,245,6,7
2,4,11,1,1,11,3,3
2,4,11,1,2,22,3,3
2,4,11,1,3,33,3,3
2,4,11,1,5,55,3,4
3,-3,3,1,1,3,2,5
3,-3,3,1,2,6,2,4
3,-3,3,1,3,9,5,8
3,-3,3,1,5,15,2,4
3,-3,3,2,1,9,5,8
3,-3,3,2,2,18,5,7
3,-3,3,2,3,27,8,11
3,-3,3,2,5,45,5,7
3,-3,3,3,1,27,8,11
3,-3,3,3,2,54,8,10
3,-3,3,3,3,81,11,14
3,-3,3,3,5,135,8,10
3,-3,5,1,1,5,3,3
3,-3,5,1,2,10,3,3
3,-3,5,1,3,15,3,3
3,-3,5,1,5,25,6,6
3,-3,5,2,1,25,6,6
3,-3,5,2,2,50,6,6
3,-3,5,2,3,75,6,6
3,-3,5,2,5,125,9,9
3,-3,7,1,1,7,3,4
3,-3,7,1,2,14,3,4
3,-3,7,1,3,21,3,4
3,-3,7,1,5,35,3,4
3,-3,7,2,1,49,6,7
3,-3,7,2,2,98,6,7
3,-3,7,2,3,147,6,7
3,-3,7,2,5,245,6,7
3,-3,11,1,1,11,3,3
3,-3,11,1,2,22,3,3
3,-3,11,1,3,33,3,3
3,-3,11,1,5,55,3,3
3,-2,3,1,1,3,2,2
3,-2,3,1,2,6,2,3
3,-2,3,1,3,9,5,5
3,-2,3,1,5,15,2,4
3,-2,3,2,1,9,5,5
3,-2,3,2,2,18,5,6
3,-2,3,2,3,27,8,8
3,-2,3,2,5,45,5,7
3,-2,3,3,1,27,8,8
3,-2,3,3,2,54,8,9
3,-2,3,3,3,81,11,11
3,-2,3,3,5,135,8,10
3,-2,5,1,1,5,3,5
3,-2,5,1,2,10,3,3
3,-2,5,1,3,15,3,4
3,-2,5,1,5,25,6,8
3,-2,5,2,1,25,6,8
3,-2,5,2,2,50,6,6
3,-2,5,2,3,75,6,7
3,-2,5,2,5,125,9,11
3,-2,7,1,1,7,3,3
3,-2,7,1,2,14,3,3
3,-2,7,1,3,21,3,3
3,-2,7,1,5,35,3,3
3,-2,7,2,1,49,6,6
3,-2,7,2,2,98,6,6
3,-2,7,2,3,147,6,6
3,-2,7,2,5,245,6,6
3,-2,11,1,1,11,3,3
3,-2,11,1,2,22,3,3
3,-2,11,1,3,33,3,3
3,-2,11,1,5,55,3,3
3,-1,3,1,1,3,2,4
3,-1,3,1,2,6,2,3
3,-1,3,1,3,9,5,8
3,-1,3,1,5,15,2,3
3,-1,3,2,1,9,5,8
3,-1,3,2,2,18,5,6
3,-1,3,2,3,27,8,12
3,-1,3,2,5,45,5,6
3,-1,3,3,1,27,8,12
3,-1,3,3,2,54,8,9
3,-1,3,3,3,81,11,15
3,-1,3,3,5,135,8,9
3,-1,5,1,1,5,3,4
3,-1,5,1,2,10,3,3
3,-1,5,1,3,15,3,3
3,-1,5,1,5,25,6,7
3,-1,5,2,1,25,6,7
3,-1,5,2,2,50,6,6
3,-1,5,2,3,75,6,6
3,-1,5,2,5,125,9,10
3,-1,7,1,1,7,3,3
3,-1,7,1,2,14,3,3
3,-1,7,1,3,21,3,3
3,-1,7,1,5,35,3,3
3,-1,7,2,1,49,6,6
3,-1,7,2,2,98,6,6
3,-1,7,2,3,147,6,6
