function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
up,64,11,86,12,0.005332482213318661265062885494,0.070068359375,0.0004469938271504691634580329403,-0.003523588583450898885460866801,1.0
up,64,12,88,12,0.001264477425963922196662426763,0.0703125,0.000040905397913128355350363828,-0.000015918369303188513830957169,1.0
up,64,13,90,12,0.0002124272550520766285537998969,0.0859375,0.000003728563792373545865066293165,0.0,1.0
up,64,14,92,12,0.0006192477487345117721187195328,0.0703125,0.00001667016232379753940517678118,0.0,1.0
up,64,15,94,12,0.00359192458354711394735968126,0.0859375,0.00003459785235037371010118293671,-0.0001694828473922833409873784352,1.0
up,64,16,96,12,0.01951344467832724936172116186,0.086181640625,0.00006735753203613106232787908204,-0.00840593990049978235295473809,1.000000057592318756007097082
up,64,17,98,12,0.1170257080721931678523355943,0.1015625,0.0001276935478552164934390369712,-0.08583159432063785444393411342,1.000002765260794653478213846
up,64,18,100,12,0.7309947722332482972372679189,0.1171875,0.0002384004349967367138597230618,-0.6752384843589351891751573665,1.000047425338573631980939509
up,64,19,102,12,4.961969351055716985949990202,0.1171875,0.0004411874022111962483548590379,-4.770777529461291481354646342,5.016765355947985797356154177
up,64,20,104,12,36.532496356628542991407476,0.1328125,0.0008145975799158592979023150393,-36.44645035173627418000131203,34.74419600188718200917693181
