N,G_N_empty_at_zero,nu_1_N
0,,1
1,1,2
2,1,2
3,2,2
4,3,2
5,4,2
6,9,2
7,8,2
8,27,2
9,16,2
10,81,4
11,32,2
12,243,4
13,64,2
14,729,4
15,128,4
16,2187,8
17,256,4
18,6561,8
19,512,8
20,19683,16
21,1024,8
22,59049,16
23,2048,8
24,177147,16
25,4096,16
26,531441,32
27,8192,16
28,1594323,32
29,16384,16
30,4782969,32
31,32768,32
32,14348907,64
33,65536,32
34,43046721,64
35,131072,64
36,129140163,128
37,262144,64
38,387420489,128
39,524288,64
40,1162261467,128
41,1048576,128
42,3486784401,256
43,2097152,128
44,10460353203,256
45,4194304,128
46,31381059609,256
47,8388608,256
48,94143178827,512
49,16777216,256
50,282429536481,512
51,33554432,256
52,847288609443,512
53,67108864,512
54,2541865828329,1024
55,134217728,512
56,7625597484987,1024
57,268435456,1024
58,22876792454961,2048
59,536870912,1024
60,68630377364883,2048
61,1073741824,1024
62,205891132094649,2048
63,2147483648,2048
64,617673396283947,4096
65,4294967296,2048
66,1853020188851841,4096
67,8589934592,2048
68,5559060566555523,4096
69,17179869184,4096
70,16677181699666569,8192
71,34359738368,4096
72,50031545098999707,8192
73,68719476736,8192
74,150094635296999121,16384
75,137438953472,8192
76,450283905890997363,16384
77,274877906944,8192
78,1350851717672992089,16384
79,549755813888,16384
80,4052555153018976267,32768
81,1099511627776,16384
82,12157665459056928801,32768
83,2199023255552,16384
84,36472996377170786403,32768
85,4398046511104,32768
86,109418989131512359209,65536
87,8796093022208,32768
88,328256967394537077627,65536
89,17592186044416,32768
90,984770902183611232881,65536
91,35184372088832,65536
92,2954312706550833698643,131072
93,70368744177664,65536
94,8862938119652501095929,131072
95,140737488355328,131072
96,26588814358957503287787,262144
97,281474976710656,131072
98,79766443076872509863361,262144
99,562949953421312,131072
100,239299329230617529590083,262144
101,1125899906842624,262144
102,717897987691852588770249,524288
103,2251799813685248,262144
104,2153693963075557766310747,524288
105,4503599627370496,262144
106,6461081889226673298932241,524288
107,9007199254740992,524288
108,19383245667680019896796723,1048576
109,18014398509481984,524288
110,58149737003040059690390169,1048576
111,36028797018963968,1048576
112,174449211009120179071170507,2097152
113,72057594037927936,1048576
114,523347633027360537213511521,2097152
115,144115188075855872,1048576
116,1570042899082081611640534563,2097152
117,288230376151711744,2097152
118,4710128697246244834921603689,4194304
119,576460752303423488,2097152
120,14130386091738734504764811067,4194304
121,1152921504606846976,2097152
122,42391158275216203514294433201,4194304
123,2305843009213693952,4194304
124,127173474825648610542883299603,8388608
125,4611686018427387904,4194304
126,381520424476945831628649898809,8388608
127,9223372036854775808,4194304
128,1144561273430837494885949696427,8388608
129,18446744073709551616,8388608
130,3433683820292512484657849089281,16777216
131,36893488147419103232,8388608
132,10301051460877537453973547267843,16777216
133,73786976294838206464,16777216
134,30903154382632612361920641803529,33554432
135,147573952589676412928,16777216
136,92709463147897837085761925410587,33554432
137,295147905179352825856,16777216
138,278128389443693511257285776231761,33554432
139,590295810358705651712,33554432
140,834385168331080533771857328695283,67108864
141,1180591620717411303424,33554432
142,2503155504993241601315571986085849,67108864
143,2361183241434822606848,33554432
144,7509466514979724803946715958257547,67108864
145,4722366482869645213696,67108864
146,22528399544939174411840147874772641,134217728
147,9444732965739290427392,67108864
148,67585198634817523235520443624317923,134217728
149,18889465931478580854784,134217728
150,202755595904452569706561330872953769,268435456
151,37778931862957161709568,134217728
152,608266787713357709119683992618861307,268435456
153,75557863725914323419136,134217728
154,1824800363140073127359051977856583921,268435456
155,151115727451828646838272,268435456
156,5474401089420219382077155933569751763,536870912
157,302231454903657293676544,268435456
158,16423203268260658146231467800709255289,536870912
159,604462909807314587353088,268435456
160,49269609804781974438694403402127765867,536870912
161,1208925819614629174706176,536870912
162,147808829414345923316083210206383297601,1073741824
163,2417851639229258349412352,536870912
164,443426488243037769948249630619149892803,1073741824
165,4835703278458516698824704,1073741824
166,1330279464729113309844748891857449678409,2147483648
167,9671406556917033397649408,1073741824
168,3990838394187339929534246675572349035227,2147483648
169,19342813113834066795298816,1073741824
170,11972515182562019788602740026717047105681,2147483648
171,38685626227668133590597632,2147483648
172,35917545547686059365808220080151141317043,4294967296
173,77371252455336267181195264,2147483648
174,107752636643058178097424660240453423951129,4294967296
175,154742504910672534362390528,2147483648
176,323257909929174534292273980721360271853387,4294967296
177,309485009821345068724781056,4294967296
178,969773729787523602876821942164080815560161,8589934592
179,618970019642690137449562112,4294967296
180,2909321189362570808630465826492242446680483,8589934592
181,1237940039285380274899124224,4294967296
182,8727963568087712425891397479476727340041449,8589934592
183,2475880078570760549798248448,8589934592
184,26183890704263137277674192438430182020124347,17179869184
185,4951760157141521099596496896,8589934592
186,78551672112789411833022577315290546060373041,17179869184
187,9903520314283042199192993792,17179869184
188,235655016338368235499067731945871638181119123,34359738368
189,19807040628566084398385987584,17179869184
190,706965049015104706497203195837614914543357369,34359738368
